Station,Date,ALKALINITY_mgL,ALUMINUM_TOTAL_mgL,ANTIMONY_TOTAL_ugL,ARSENIC_TOTAL_ugL,CHLORIDE_mgL,COPPER_TOTAL_ugL,CADMIUM_TOTALugL,CHROMIUM_VI_ugL,IRON_TOTAL_mgL,HARDNESS,MOLYBDENUM_TOTAL_ugL,NICKEL_TOTAL_ugL,NITROGEN_TOTAL_mgL,NITRATE_TOTAL_mgLasN,DISSOLVED_OXYGEN_mgL,LEAD_TOTAL_ugL,PH,PHOSPHORUS_TOTAL_mgL,SELENIUM_TOTAL_ugL,SILVER_TOTAL_ugL,TEMP,THALLIUM_TOTAL_ugL,TURBIDITY_NTU,URANIUM_TOTAL_ugL,ZINC_TOTAL_ugL
Station1,5/6/2007,0.74,0.166,0.03,0.06,3.59,0.26,0.01,0.16,312,3.04,0.02,0.15,0.18,<0.01,12.75,0.11,5.15,0,<0.05,,6.3,0.01,0.53,0.03,1.71
Station1,7/25/2007,2.35,0.178,0.01,0.12,3.37,0.42,0.01,0.23,311,5.27,0.04,0.19,0.23,<0.01,9.02,0.11,6.15,0.01,0.06,,20.2,0.02,0.46,0.09,0.95
Station1,9/28/2007,2.36,0.24,0.02,0.1,3.38,0.46,0.01,0.28,546,5.54,0.03,0.22,0.22,<0.01,12.03,0.14,6.15,0.01,<0.05,,8.9,0,0.92,0.09,1.48
Station1,11/30/2007,2.59,0.229,0.02,0.09,3.32,0.65,0.01,0.22,402,5.38,0.03,0.24,0.25,<0.01,14,0.16,6.02,0.01,0.05,0.01,7.8,0.04,1.09,0.09,2.53
Station1,1/30/2008,0.76,0.116,0.01,0.08,3.44,0.16,0.01,0.16,281,4.22,0.02,0.08,0.21,0.04,16.68,0.08,6.05,0.01,0.05,,0.1,0.01,0.42,0.01,1.45
Station1,4/4/2008,4,0.286,0.01,0.08,3.33,0.41,0.01,0.29,778,7.15,0.1,0.2,0.39,0.05,13.92,0.22,6.57,0.01,<0.05,0.01,0.3,0,0.62,0.47,0.82
Station1,5/20/2008,0.82,0.288,0.01,0.09,2.07,0.63,0.02,0.33,825,2.31,0.04,0.31,0.2,<0.01,16.12,0.49,4.77,0.02,<0.05,,4.75,0.01,3.28,0.08,2.22
Station1,9/9/2008,3.06,0.362,0.02,0.18,2.56,0.54,0.02,0.34,1120,6.84,0.06,0.31,0.53,<0.01,10.11,0.32,5.5,0.02,0.09,<0.001,13.37,0.01,2.28,0.12,2.46
Station1,2/12/2008,1.97,0.244,0.01,0.09,3.05,0.36,0.01,0.21,408,5.03,0.02,0.19,0.23,<0.01,13.5,0.14,5.74,0.01,<0.05,<0.001,2.32,0.01,0.54,0.11,1.59
Station1,3/26/2009,3.47,0.142,0.01,0.08,4,0.3,0.01,0.22,470,6.38,0.05,0.18,,0.02,14.19,0.1,6.23,0.01,0.05,,,0.01,0.51,0.05,0.99
Station1,8/6/2009,1.34,0.139,0.01,0.06,2.25,0.24,0.01,0.15,275,2.44,0.01,0.13,0.16,<0.01,11.62,0.09,5.35,,<0.05,<0.001,8.28,0.01,0,0.02,1.11
Station1,9/16/2009,1.93,0.293,0.01,0.11,2.85,0.38,0.01,0.25,495,5.3,0.03,0.25,0.33,<0.01,10.53,0.16,5.6,0.01,0.06,<0.001,10.79,0.01,0.74,0.08,1.92
Station1,11/30/2009,1.05,0.217,0.01,0.08,2.65,0.29,0.01,0.19,351,4.14,0.02,0.2,0.2,<0.01,14.62,0.13,4.31,0.01,0.05,<0.001,1.43,0.01,0.51,0.05,1.78
Station2,5/6/2007,0.89,0.1992,0.03,0.07,4.31,0.31,0.01,0.19,370,3.65,0.02,0.18,0.21,<0.01,15.3,0.13,6.18,0.01,<0.05,,6.3,0.01,0.64,0.03,2.05
Station2,7/25/2007,2.82,0.2136,0.02,0.14,4.04,0.5,0.01,0.27,370,6.33,0.05,0.23,0.28,<0.01,10.82,0.13,7.38,0.01,0.07,,20.2,0.03,0.55,0.11,1.14
Station2,9/28/2007,2.83,0.288,0.02,0.12,4.06,0.55,0.01,0.34,660,6.64,0.04,0.26,0.27,<0.01,14.44,0.17,7.38,0.01,<0.05,,8.9,,1.1,0.1,1.78
Station2,11/30/2007,3.11,0.2748,0.03,0.11,3.98,0.78,0.01,0.26,480,6.46,0.03,0.29,0.3,<0.01,16.8,0.19,7.22,0.01,0.06,0.01,7.8,0.05,1.31,0.11,3.04
