PARAMETER_ID,EXCEED_IF,LOWER_LIMIT,UPPER_LIMIT,HARDNESS_LOWER,HARDNESS_UPPER,SEASON_START,SEASON_FINISH,GUIDELINE_SOURCE,UNIT_ID
ALUMINUM_TOTAL_mgL,pHDependCCME,,,,,,,CCME 1987,mg/L
AMMONIA_TOTAL_mgL_N,COMPUTE,0.0152,,,,,,CCME 2001,mg/L as N
AMMONIA_UNIONIZED_mgL_N,>,,0.0152,,,,,CCME 2001,mg/L as N
ARSENIC_TOTAL_ugL,>,,5,,,,,CCME 1997,ug/L
CADMIUM_TOTALugL,CDHARDNESS,,,,,,,CCME 1996,ug/L
CHLORIDE_mgL,>,,120,,,,,CCME 2011,mg/L
CHROMIUM_III_ugL,>,,8.9,,,,,CCME 1997,ug/L
CHROMIUM_VI_ugL,>,,1,,,,,CCME 1997,ug/L
COPPER_TOTAL_ugL,CUHARDNESS,,,,,,,CCME 1987,ug/L
DISSOLVED_OXYGEN_mgL,<,9.5,,,,,,CCME 1999,mg/L
IRON_TOTAL_mgL,>,,0.3,,,,,CCME 1987,ug/L
LEAD_TOTAL_ugL,HARDNESS,,1,0,60,,,CCME 1987,ug/L
LEAD_TOTAL_ugL,HARDNESS,,2,60,120,,,CCME 1987,ug/L
LEAD_TOTAL_ugL,HARDNESS,,4,120,180,,,CCME 1987,ug/L
LEAD_TOTAL_ugL,HARDNESS,,7,180,,,,CCME 1987,ug/L
INORGANIC_MERCURY_ugL,>,,0.026,,,,,CCME 2003,ug/L
METHYLMERCURY_ugL,>,,0.004,,,,,CCME 2003,ug/L
MOLYBDENUM_TOTAL_ugL,>,,73,,,,,CCME 1999,ug/L
NICKEL_TOTAL_ugL,NIHARDNESS,,,,,,,CCME 1987,ug/L
NITROGEN_TOTAL_mgL,>,,,,,,,,mg/L
NITRATE_TOTAL_mgLasN,>,,13,,,,,CCME 2012,mg/L
NITRITE_TOTAL_mgLasN,>,,0.06,,,,,CCME 1987,mg/L
PH,<>,6.5,9,,,,,CCME 1987,
PHOSPHORUS_TOTAL_mgL,SEASON,,0.03,,,1-Jan,30-Apr,Guidance framework (CCME 2004),mg/L
PHOSPHORUS_TOTAL_mgL,SEASON,,0.02,,,1-May,31-Oct,Guidance framework (CCME 2004),mg/L
PHOSPHORUS_TOTAL_mgL,SEASON,,0.03,,,1-Nov,31-Dec,Guidance framework (CCME 2004),mg/L
SELENIUM_TOTAL_ugL,>,,1,,,,,CCME 1987,ug/L
SILVER_TOTAL_ugL,>,,0.1,,,,,CCME 1987,ug/L
SUSPENDED_SEDIMENT_mgL,SEASON,,,,,1-Jan,30-Apr,Narrative (CCME 1999),mg/L
SUSPENDED_SEDIMENT_mgL,SEASON,,,,,1-May,31-Oct,Narrative (CCME 1999),mg/L
SUSPENDED_SEDIMENT_mgL,SEASON,,,,,1-Nov,31-Dec,Narrative (CCME 1999),mg/L
TEMPERATURE_DEG_C,>,,,,,,,Narrative (CCME 1987),Degree Celsius
THALLIUM_TOTAL_ugL,>,,0.8,,,,,CCME 1999,‘g/L
TURBIDITY_NTU,SEASON,,5,,,1-Jan,30-Apr,Narrative (CCME 1999),NTU
TURBIDITY_NTU,SEASON,,10,,,1-May,31-Oct,Narrative (CCME 1999),NTU
TURBIDITY_NTU,SEASON,,5,,,1-Nov,31-Dec,Narrative (CCME 1999),NTU
URANIUM_TOTAL_ugL,>,,15,,,,,CCME 2011,ug/L
ZINC_TOTAL_ugL,>,,30,,,,,CCME 1987,ug/L
