Station,Date,DO,PH,TP,TN,FC,AS,PB,HG,D24,LINDANE
Devon,7-Jan-97,11.4,8.0,0.006,0.160,4,0.0002,0.0004,L0.05,L0.005,L0.005
Devon,4-Feb-97,11.0,7.9,0.005,0.170,L4,L0.0002,0.0094,L0.05,,
Devon,4-Mar-97,11.5,7.9,0.006,0.132,4,L0.0002,L0.0003,L0.05,,
Devon,8-Apr-97,12.5,7.9,0.058,0.428,L4,L0.0002,0.0008,L0.05,0.004,L0.005
Devon,6-May-97,10.4,8.1,0.042,0.250,L4,0.0002,0.0008,L0.05,,
Devon,3-Jun-97,8.9,8.2,0.108,0.707,26,0.0006,0.0013,L0.05,,
Devon,8-Jul-97,8.5,8.3,0.017,0.153,9,0.0002,0.0004,,,
Devon,5-Aug-97,7.5,8.2,0.008,0.153,8,L0.0002,L0.0003,L0.05,L0.005,L0.005
Devon,2-Sep-97,9.2,8.2,0.006,0.130,12,0.0003,0.0018,L0.05,,
Devon,7-Oct-97,11.0,8.1,0.008,0.093,12,L0.0002,0.0011,L0.05,L0.005,L0.005
Devon,4-Nov-97,12.1,8.0,0.006,0.296,8,L0.0002,0.0051,L0.05,,
Devon,1-Dec-97,13.3,8.0,0.004,0.054,4,L0.0002,L0.0003,L0.05,,
